assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	city_pooled
GCA_018123905.1	SAMN17915444	96	Acinetobacter baumannii	159	TRUE	2013	Poland	warsaw	NCBI	4068232	0.39	0	141	186107	67144	11429	99.5	470	Acinetobacter baumannii	82.98	ST2	7	KL9	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL9	2013-12-21	2013	TRUE	other_country_outside_europe
GCA_018123925.1	SAMN17915445	79	Acinetobacter baumannii	165	TRUE	2013	Poland	warsaw	NCBI	4064435	0.39	0	153	211786	54458	9999	99.6	470	Acinetobacter baumannii	86.27	ST2	7	KL9	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL9	2013-10-24	2013	TRUE	other_country_outside_europe
GCA_018123945.1	SAMN17915447	59	Acinetobacter baumannii	195	TRUE	2013	Poland	warsaw	NCBI	4075995	0.389	0	150	166072	63369	11254	99.5	470	Acinetobacter baumannii	84	ST2	7	KL9	Very high	OCL1	Good	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL9	2013-03-23	2013	TRUE	other_country_outside_europe
GCA_018123965.1	SAMN17915446	102	Acinetobacter baumannii	176	TRUE	2013	Poland	warsaw	NCBI	4099053	0.39	0	178	243448	58913	8012	99.6	470	Acinetobacter baumannii	82.02	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL2	2013-06-28	2013	TRUE	other_country_outside_europe
GCA_018123985.1	SAMN17915437	66	Acinetobacter baumannii	81	TRUE	2012	Poland	warsaw	NCBI	3980576	0.391	0	140	197042	61757	11215	99.6	470	Acinetobacter baumannii	87.14	ST2	7	KL9	Good	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL9	2012-01-05	2012	TRUE	other_country_outside_europe
GCA_018124005.1	SAMN17915436	80	Acinetobacter baumannii	76	TRUE	2011	Poland	warsaw	NCBI	4069589	0.39	0	239	142052	39460	5016	99.5	470	Acinetobacter baumannii	86.61	ST2	7	KL9	Good	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL9	2011-04-05	2011	TRUE	other_country_outside_europe
GCA_018124045.1	SAMN17915438	138	Acinetobacter baumannii	86	TRUE	2012	Poland	warsaw	NCBI	4232199	0.391	0	154	268254	77925	10099	99.7	470	Acinetobacter baumannii	74.68	ST2	7	KL125	Perfect	OCL1	Very high	aac(6')-Iaf|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL125	2012-06-14	2012	TRUE	other_country_outside_europe
GCA_018124065.1	SAMN17915439	107	Acinetobacter baumannii	87	TRUE	2012	Poland	warsaw	NCBI	4320408	0.39	0	141	252189	79688	11643	98.9	470	Acinetobacter baumannii	78.01	ST2	7	KL125	Good	OCL1	Very high	aac(6')-Iaf|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL125	2012-09-27	2012	TRUE	other_country_outside_europe
GCA_018124085.1	SAMN17915440	58	Acinetobacter baumannii	96	TRUE	2012	Poland	warsaw	NCBI	4241383	0.389	0	181	163915	56712	8731	99.7	470	Acinetobacter baumannii	79.01	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(3')-VIb|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL3	2012-12-27	2012	TRUE	other_country_outside_europe
GCA_018124105.1	SAMN17915441	114	Acinetobacter baumannii	113	TRUE	2012	Poland	warsaw	NCBI	4253112	0.39	0	131	435892	98387	10099	99.7	470	Acinetobacter baumannii	73.28	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL2	2012-05-01	2012	TRUE	other_country_outside_europe
GCA_018124125.1	SAMN17915442	87	Acinetobacter baumannii	118	TRUE	2012	Poland	warsaw	NCBI	4202881	0.391	0	139	245928	80919	9282	99.7	470	Acinetobacter baumannii	78.42	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL2	2012-12-10	2012	TRUE	other_country_outside_europe
GCA_018124145.1	SAMN17915443	109	Acinetobacter baumannii	129	TRUE	2014	Poland	warsaw	NCBI	4180236	0.39	0	224	130854	48792	5392	99.7	470	Acinetobacter baumannii	83.48	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	PL	ST2-KL3	2014-12-17	2014	TRUE	other_country_outside_europe
GCA_018169075.1	SAMN18823010	159	Acinetobacter baumannii	2021DK-00037	TRUE	2021	USA	NA	NCBI	3966649	0.391	0	184	141615	46635	8045	99.8	470	Acinetobacter baumannii	88.04	ST2	7	KL2	Good	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2021-11-24	2021	TRUE	other_country_outside_europe
GCA_018169455.1	SAMN18849901	197	Acinetobacter baumannii	2020GN-00060	TRUE	2020	USA	NA	NCBI	4239722	0.389	0	121	290670	83939	14928	99.7	470	Acinetobacter baumannii	90.08	ST2	7	KL210	Very high	OCL3	Good	aadA2|ant(2'')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL210	2020-10-13	2020	TRUE	other_country_outside_europe
GCA_018169475.1	SAMN18849903	127	Acinetobacter baumannii	2020GN-00062	TRUE	2020	USA	NA	NCBI	4089146	0.39	0	115	224892	118523	11538	99.7	470	Acinetobacter baumannii	81.74	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2020-10-20	2020	TRUE	other_country_outside_europe
GCA_018169495.1	SAMN18849902	190	Acinetobacter baumannii	2020GN-00061	TRUE	2020	USA	NA	NCBI	4170523	0.39	0	167	150998	60646	8342	99.8	470	Acinetobacter baumannii	91.62	ST2	7	KL210	Good	OCL3	Good	aadA2|ant(2'')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL210	2020-09-04	2020	TRUE	other_country_outside_europe
GCA_018169515.1	SAMN18849904	214	Acinetobacter baumannii	2020GN-00063	TRUE	2020	USA	NA	NCBI	4263445	0.39	0	130	290670	77618	13043	99.8	470	Acinetobacter baumannii	86.92	ST2	7	KL210	Very high	OCL3	Good	aadA2|ant(2'')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL210	2020-07-31	2020	TRUE	other_country_outside_europe
GCA_018169585.1	SAMN18849905	142	Acinetobacter baumannii	2020GN-00065	TRUE	2020	USA	NA	NCBI	4118098	0.39	0	180	290670	51757	7446	99.7	470	Acinetobacter baumannii	87.22	ST2	7	KL210	Good	OCL3	Good	aadA2|ant(2'')-Ia|aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL210	2020-04-30	2020	TRUE	other_country_outside_europe
GCA_018285295.1	SAMN19026374	131	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00807	TRUE	2021-03-14	USA	NA	NCBI	4119653	0.389	0	74	272746	161936	26789	99.7	470	Acinetobacter baumannii	83.78	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-03-13	2021	TRUE	other_country_outside_europe
GCA_018285315.1	SAMN19026384	117	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00846	TRUE	2021-03-30	USA	NA	NCBI	4002607	0.389	0	134	201367	88801	10218	99.6	470	Acinetobacter baumannii	81.34	ST2	7	KL22	Good	OCL3	Good	NA	blaADC-25|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL22	2021-03-29	2021	TRUE	other_country_outside_europe
GCA_018285335.1	SAMN19026375	243	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00837	TRUE	2021-03-30	USA	NA	NCBI	4063892	0.389	0	140	201367	100623	10093	99.8	470	Acinetobacter baumannii	80	ST2	7	KL22	Very high	OCL3	Good	NA	blaADC-25|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL22	2021-03-29	2021	TRUE	other_country_outside_europe
GCA_018285395.1	SAMN19026415	109	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00893	TRUE	2021-04-07	USA	NA	NCBI	4197266	0.39	0	96	304400	119384	17811	99.8	470	Acinetobacter baumannii	75	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	NA	NA	NA	NA	catB8	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2021-04-06	2021	TRUE	other_country_outside_europe
GCA_018285415.1	SAMN19026416	223	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00894	TRUE	2021-04-07	USA	NA	NCBI	4207553	0.391	0	107	296504	145234	14862	99.7	470	Acinetobacter baumannii	71.03	ST2	7	KL2	Very high	OCL1	Good	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2021-04-06	2021	TRUE	other_country_outside_europe
GCA_018285435.1	SAMN19026417	181	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00895	TRUE	2021-04-07	USA	NA	NCBI	4231617	0.391	0	131	297929	88499	9332	99.8	470	Acinetobacter baumannii	74.05	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2021-04-06	2021	TRUE	other_country_outside_europe
GCA_018285495.1	SAMN19026422	80	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00900	TRUE	2021-04-14	USA	NA	NCBI	4175978	0.389	0	67	354882	161936	26626	99.8	470	Acinetobacter baumannii	85.07	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-13	2021	TRUE	other_country_outside_europe
GCA_018285555.1	SAMN19026424	95	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00902	TRUE	2021-04-14	USA	NA	NCBI	4262298	0.391	0	106	254501	99096	13767	99.8	470	Acinetobacter baumannii	78.3	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aadA5|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	dfrA17	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2021-04-13	2021	TRUE	other_country_outside_europe
GCA_018285595.1	SAMN19026435	131	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00913	TRUE	2021-04-19	USA	NA	NCBI	4029714	0.389	0	119	201417	100914	11151	99.7	470	Acinetobacter baumannii	82.35	ST2	7	KL22	Good	OCL3	Good	NA	blaADC-25|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL22	2021-04-19	2021	TRUE	other_country_outside_europe
GCA_018285635.1	SAMN19026440	60	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00918	TRUE	2021-04-16	USA	NA	NCBI	4061509	0.389	0	74	257050	129587	23865	99.7	470	Acinetobacter baumannii	81.08	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	NA	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-16	2021	TRUE	other_country_outside_europe
GCA_018285655.1	SAMN19026439	83	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00917	TRUE	2021-04-16	USA	NA	NCBI	4194911	0.389	0	64	290977	162561	31357	99.6	470	Acinetobacter baumannii	89.06	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-16	2021	TRUE	other_country_outside_europe
GCA_018285715.1	SAMN19026443	81	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00922	TRUE	2021-04-20	USA	NA	NCBI	4106363	0.39	0	87	236511	96365	20980	99.7	470	Acinetobacter baumannii	83.91	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Iaf|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66|blaOXA-72	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-40-like	gyrAS81L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2021-04-20	2021	TRUE	other_country_outside_europe
GCA_018285735.1	SAMN19026381	123	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00843	TRUE	2021-03-29	USA	NA	NCBI	4355972	0.39	0	73	364357	158160	26818	99.8	470	Acinetobacter baumannii	82.19	ST2	7	KL2	Very high	OCL1	Good	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2021-03-28	2021	TRUE	other_country_outside_europe
GCA_018285755.1	SAMN19026445	67	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00924	TRUE	2021-04-20	USA	NA	NCBI	3896163	0.39	0	64	272747	155830	34184	99.8	470	Acinetobacter baumannii	81.25	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-20	2021	TRUE	other_country_outside_europe
GCA_018285775.1	SAMN19026444	64	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00923	TRUE	2021-04-20	USA	NA	NCBI	4069496	0.389	0	72	272747	129587	21912	99.8	470	Acinetobacter baumannii	79.17	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	NA	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-20	2021	TRUE	other_country_outside_europe
GCA_018285815.1	SAMN19026447	71	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00926	TRUE	2021-04-20	USA	NA	NCBI	4149578	0.389	0	70	272746	161936	24598	99.8	470	Acinetobacter baumannii	88.57	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-20	2021	TRUE	other_country_outside_europe
GCA_018285835.1	SAMN19026449	55	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00928	TRUE	2021-04-20	USA	NA	NCBI	3975358	0.391	0	140	222753	72645	8840	99.8	470	Acinetobacter baumannii	87.86	ST2	7	KL22	Very high	OCL3	None	aph(3')-VIa	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL22	2021-04-20	2021	TRUE	other_country_outside_europe
GCA_018285855.1	SAMN19026451	89	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00930	TRUE	2021-04-22	USA	NA	NCBI	4296462	0.39	0	83	364159	139234	24374	99.8	470	Acinetobacter baumannii	78.31	ST2	7	KL125	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	FALSE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL125	2021-04-21	2021	TRUE	other_country_outside_europe
GCA_018285875.1	SAMN19026450	141	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00929	TRUE	2021-04-22	USA	NA	NCBI	4305788	0.39	0	97	432273	130019	17430	99.7	470	Acinetobacter baumannii	80.41	ST2	7	KL125	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	FALSE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL125	2021-04-21	2021	TRUE	other_country_outside_europe
GCA_018285895.1	SAMN19026452	98	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00931	TRUE	2021-04-23	USA	NA	NCBI	4283713	0.39	0	88	467848	146975	21955	99.6	470	Acinetobacter baumannii	70.45	ST2	7	KL116	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-VI|aph(6)-Id|armA	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	cmlA1	NA	NA	ARR-2	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaNDM-1|blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL116	2021-04-23	2021	TRUE	other_country_outside_europe
GCA_018285935.1	SAMN19026454	78	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00933	TRUE	2021-04-26	USA	NA	NCBI	3833965	0.39	0	153	141865	58763	8076	99.6	470	Acinetobacter baumannii	86.93	ST2	7	KL22	Good	OCL3	Good	NA	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL22	2021-04-25	2021	TRUE	other_country_outside_europe
GCA_018285955.1	SAMN19026382	344	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00844	TRUE	2021-03-29	USA	NA	NCBI	4025689	0.389	0	137	201483	98611	10093	99.8	470	Acinetobacter baumannii	80.29	ST2	7	KL22	Very high	OCL3	Good	NA	blaADC-25|blaOXA-82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL22	2021-03-28	2021	TRUE	other_country_outside_europe
GCA_018285975.1	SAMN19026457	64	Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00936	TRUE	2021-04-27	USA	NA	NCBI	3984107	0.39	0	65	272746	169018	25373	99.8	470	Acinetobacter baumannii	89.23	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2021-04-27	2021	TRUE	other_country_outside_europe
